Metric,Value
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1721830
design__violations,0
design__instance__count__class:timing_repair_buffer,5133
design__instance__area__class:timing_repair_buffer,42253
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,1341
design__instance__area__class:clock_buffer,17280.3
design__instance__count__class:clock_inverter,148
design__instance__area__class:clock_inverter,1413.86
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,19
global_route__vias,76
global_route__wirelength,2657341
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,173
design__instance__count__class:antenna_cell,1027
design__instance__area__class:antenna_cell,2569.96
flow__warnings__count:GRT-0243,1
route__net,34407
route__net__special,2
route__drc_errors__iter:0,214
route__wirelength__iter:0,1987884
route__drc_errors__iter:1,76
route__wirelength__iter:1,1987820
route__drc_errors__iter:2,73
route__wirelength__iter:2,1987829
route__drc_errors__iter:3,3
route__wirelength__iter:3,1987832
route__drc_errors__iter:4,3
route__wirelength__iter:4,1987832
route__drc_errors__iter:5,0
route__wirelength__iter:5,1987834
route__drc_errors__iter:6,0
route__wirelength__iter:6,1987398
route__drc_errors__iter:7,0
route__wirelength__iter:7,1987112
route__drc_errors,0
route__wirelength,1987834
route__vias,314382
route__vias__singlecut,314382
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,36
design__critical_disconnected_pin__count,0
route__wirelength__max,1484.65
timing__unannotated_net__count__corner:nom_tt_025C_1v80,901
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,901
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,901
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-8.824806024603209
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26475311581325117
timing__hold__ws__corner:min_tt_025C_1v80,0.2492819354829398
timing__setup__ws__corner:min_tt_025C_1v80,33.752237515791535
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
